506,126,490.8,Err:509
509,126,486.9,-1661.20236504758
502,125,482.7,-2082.86856601553
501,124,479.7,-2384.95979951554
500,124,477.4,-2617.35674403766
491,122,476.2,-2739.98989971577
482,120,476.8,-2682.74920475072
475,118,479.4,-2425.45358902971
472,117,483.5,-2017.90106994699
470,117,488.9,-1479.93935385603
467,116,495.3,-841.435753607141
467,116,502.5,-122.28740922821
472,117,510.1,637.588692687473
478,119,517.1,1338.23533436363
488,121,523.8,2009.59394891627
497,123,528.9,2521.63621918956
508,126,531.9,2824.20146458039
516,128,532.2,2857.07743348527
526,131,531.2,2759.98984677119
534,133,528.3,2472.80616294136
539,134,523.8,2025.33201193312
543,135,518,1447.40290356087
542,135,511.4,788.884380432472
545,135,504.3,79.6926636091541
539,134,496.8,-670.225600325614
527,131,490.2,-1330.91371695839
511,127,485.1,-1842.2815625051
506,126,481.5,-2204.17691390687
497,123,479.2,-2436.44692102726
489,121,478.5,-2508.95872197677
481,119,479.2,-2441.54794666405
477,118,481.6,-2204.07020693953
471,117,485,-1866.34949360648
470,117,489.8,-1388.28153241973
473,117,496.1,-759.720166132081
476,118,502.7,-100.50825759073
475,118,507.1,339.387372463688
483,120,511.7,799.740165990158
490,122,515.3,1160.57236179244
496,123,517,1331.78129133597
505,125,517.8,1413.17001009648
511,127,517.1,1344.64513536799
519,129,515.1,1146.05019820537
533,132,511.7,807.248995483815
539,134,506.5,288.094282390085
520,129,500.5,-311.603731988964
521,129,495.6,-801.930703376144
519,129,491,-1262.77306756037
507,126,486.6,-1704.10090464507
504,125,483.8,-1985.89469507102
498,124,481.6,-2207.98731329553
491,122,480.5,-2320.31641383699
485,120,480.6,-2312.76658956438
481,119,482.2,-2155.21137454278
479,119,484.7,-1907.49202149997
471,117,488.4,-1539.51266982783
475,118,493.6,-1021.14523893686
475,118,498.8,-502.229257237224
479,119,505.1,127.237024104721
482,120,510.5,667.372382640991
487,121,516.6,1278.08310935308
492,122,517.8,1399.44567130333
501,124,517.8,1400.93920990665
506,126,519.3,1552.43593983176
516,128,519.8,1604.0962991257
523,130,517.9,1415.81374698343
527,131,513.8,1007.3312322428
538,134,507.9,418.412059745202
533,132,499.8,-391.138518063866
543,135,491.5,-1221.55909711555
499,124,482,-2172.87401541169
492,122,477.1,-2665.21547448002
516,128,473.8,-2998.09057207924
511,127,469.5,-3431.32825088278
497,123,467.4,-3645.0377949378
482,120,468.4,-3548.98264103622
468,116,472.7,-3122.82769265164
457,113,480.2,-2376.21470750267
450,112,490.2,-1378.79474518726
448,111,502,-200.293435127679
450,112,514.7,1069.48861771768
459,114,527.3,2330.65363799841
473,117,538.7,3473.19524501913
490,122,547.8,4386.98694288487
507,126,553.8,4991.78146413391
525,130,556.5,5267.24293181896
543,135,555.6,5183.01209165667
557,138,551.2,4748.69521895016
568,141,543.7,4003.9078371927
575,143,533.5,2988.30773591488
576,143,521.6,1801.59520317112
573,142,508.8,523.579338857428
564,140,496.2,-735.843396160379
550,137,485.3,-1826.65558533936
534,133,477.4,-2618.67398930107
516,128,472.4,-3121.57075256357
499,124,469.5,-3415.02764154758
482,120,468.6,-3508.81370323444
466,116,471.4,-3232.708058066
456,113,476.7,-2706.2999559083
448,111,483.6,-2019.31030068684
447,111,492.3,-1151.55897585464
455,113,501.1,-272.842765125375
471,117,509.6,576.852722859968
484,120,516.6,1277.49725104193
487,121,521.8,1798.92621888425
490,122,525.3,2150.94069393339
510,127,527.7,2393.35206242436
519,129,527.2,2346.03820390857
525,130,524.9,2118.67420189049
535,133,521.3,1761.05741246629
535,133,516.1,1243.04058522808
540,134,510.4,674.441983858537
541,134,503.8,15.2032050592936
536,133,497,-664.779616177935
522,130,490.4,-1325.5316293184
514,128,485.4,-1827.03279764153
505,125,482.1,-2159.10426339848
496,123,480,-2371.55500603572
489,121,479.2,-2454.24995490623
483,120,479.5,-2427.04204814275
478,119,481.5,-2229.80633293561
474,118,484.2,-1962.34887151365
473,117,487.8,-1604.58899579619
470,117,492.6,-1126.42281179138
472,117,497.5,-637.711625077202
481,119,502.8,-108.442108038338
484,120,508,411.433531746019
488,121,512.5,861.905900898415
492,122,515.5,1162.89659733623
503,125,517.6,1374.23479825376
505,125,517.6,1375.81801806742
510,127,516.7,1287.40489006058
521,129,514.2,1038.89150078814
519,129,509.6,580.092531424884
525,130,504.9,110.763934817732
533,132,499,-479.107717633229
529,131,492.1,-1169.66352705043
518,129,486.1,-1771.02202127464
513,127,481.6,-2223.08134920636
503,125,478.2,-2565.66933680731
496,123,476.6,-2728.65962740964
485,120,476.4,-2751.84359430278
475,118,478.1,-2585.05836485685
472,117,481.8,-2218.08182493272
466,116,486.8,-1720.67911044201
464,115,493.3,-1072.69631924675
469,116,500.6,-343.95535248529
473,117,507.9,385.640469662184
479,119,515.2,1116.09416433238
487,121,521.7,1767.40876287695
494,123,527.1,2309.49297132374
502,125,531.2,2722.21964543393
512,127,533.4,2945.43739915193
522,130,533.5,2958.92312388465
531,132,531.6,2772.42895696983
537,133,527.7,2385.71772204334
542,135,522.2,1838.55111601251
546,136,515.2,1140.73726478304
544,135,507.1,332.095285336345
541,134,499,-477.508891915937
535,133,491.1,-1268.07871159602
524,130,484,-1979.59373992529
513,127,478.5,-2531.9616750209
503,125,474.9,-2894.99396445207
492,122,473.3,-3058.46518023677
482,120,473.8,-3012.1368071038
472,117,476.1,-2785.75716384311
465,115,480.4,-2359.1094588658
463,115,486.4,-1761.95175941864
462,115,492.9,-1114.07715357959
464,115,500.2,-385.422657388256
469,116,507.6,354.11129344925
